"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2085","TC09 - Crear una guía con caracteres peligrosos como scripts","","Mon Jun 30 18:16:11 COT 2025","failed","Mon Jun 30 18:16:13 COT 2025","","guia.spec.ts","",""
"","186","TC07 - Crear una guía sin valorRecaudar","","Mon Jun 30 18:15:42 COT 2025","passed","Mon Jun 30 18:15:42 COT 2025","","guia.spec.ts","",""
"","29180","TC08 - Crear una guía con caracteres especiales seguros en referenciaRecaudo","","Mon Jun 30 18:15:42 COT 2025","passed","Mon Jun 30 18:16:11 COT 2025","","guia.spec.ts","",""
"","1281","TC04 - Crear una guía con valorRecaudar menos al minimo.","","Mon Jun 30 18:15:36 COT 2025","failed","Mon Jun 30 18:15:38 COT 2025","","guia.spec.ts","",""
"","1629","TC02 - Crear una guía con valorRecaudar igual a 1.","","Mon Jun 30 18:15:34 COT 2025","passed","Mon Jun 30 18:15:35 COT 2025","","guia.spec.ts","",""
"","3276","TC10 - Crear una guía sin el campo observaciones","","Mon Jun 30 18:16:14 COT 2025","passed","Mon Jun 30 18:16:17 COT 2025","","guia.spec.ts","",""
"","288","TC02 - Error por referencia de recaudo vacía","","Fri Jun 27 22:21:36 COT 2025","passed","Fri Jun 27 22:21:36 COT 2025","","guia.spec.ts","",""
"","2371","TC01 - Crear una guía con datos completamente válidos.","","Mon Jun 30 18:15:31 COT 2025","passed","Mon Jun 30 18:15:33 COT 2025","","guia.spec.ts","",""
"","366","TC06 - Error por referencia de recaudo vacía","","Mon Jun 30 18:15:41 COT 2025","passed","Mon Jun 30 18:15:42 COT 2025","","guia.spec.ts","",""
"","1305","TC03 - Crear una guía con valorRecaudar igual a 16000000.","","Mon Jun 30 18:15:35 COT 2025","passed","Mon Jun 30 18:15:36 COT 2025","","guia.spec.ts","",""
"","1809","TC05 - Crear una guía con valorRecaudar mayor al maximo.","","Mon Jun 30 18:15:39 COT 2025","failed","Mon Jun 30 18:15:40 COT 2025","","guia.spec.ts","",""
"","4689","TC01 - Creación exitosa con datos válidos","","Fri Jun 27 22:21:31 COT 2025","passed","Fri Jun 27 22:21:36 COT 2025","","guia.spec.ts","",""
